
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Administer | v. <br>1 manage (business affairs etc.). <br>2 a deliver or dispense, esp. Formally (a punishment, sacrament, etc.). B (usu. Foll. By to) direct the taking of (an oath). [latin: related to *ad-, *minister]
Administrative | adj. Of the management of affairs.
Administrator | n. Manager of a business, public affairs, or a person's estate.
Admission | n. <br>1 acknowledgement (admission of error). <br>2 a process or right of entering. B charge for this (admission is £5).
Adolescent | <br>—adj. Between childhood and adulthood. <br>—n. Adolescent person.  adolescence n. [latin adolesco grow up]
Adverse | adj. Unfavourable; harmful.  adversely adv. [latin: related to *ad-, verto vers- turn]
Usage | the variant advisor is fairly common, but is considered incorrect by many people.
Advocate | <br>—n. <br>1 (foll. By of) person who supports or speaks in favour. <br>2 person who pleads for another, esp. In a lawcourt. <br>—v. (-ting) recommend by argument. [latin: related to *ad-, voco call]
Aesthetic | <br>—adj. <br>1 of or sensitive to beauty. <br>2 artistic, tasteful. <br>—n. (in pl.) Philosophy of beauty, esp. In art.  aesthetically adv. Aestheticism n.
Usage | affect should not be confused with effect, meaning ‘to bring about’. Note also that effect is used as a noun as well as a verb.
Affection | n. <br>1 goodwill, fond feeling. <br>2 disease; diseased condition.
Aftermath | n. <br>1 consequences, esp. Unpleasant (aftermath of war). <br>2 new grass growing after mowing. [from *after, math mowing]
Usage | the use of aggravate in sense <br>2 is regarded by some people as incorrect, but it is common in informal use.
Aggression | n. <br>1 unprovoked attacking or attack. <br>2 hostile or destructive behaviour. [latin gradior gress- walk]
Agriculture | n. Cultivation of the soil and rearing of animals.  agricultural adj. Agriculturalist n. [latin ager field]
Aide | n. <br>1 aide-de-camp. <br>2 esp. Us assistant. [french]
Aids | n. (also aids) acquired immune deficiency syndrome, an often fatal viral syndrome marked by severe loss of resistance to infection. [abbreviation]
Usage | the use of ain't is usually regarded as unacceptable in spoken and written english.
Usage | the use of ain't is usually regarded as unacceptable in spoken and written english.
Albeit | conj. Literary though. [all be it]
Alert | <br>—adj. <br>1 watchful, vigilant. <br>2 nimble, attentive. <br>—n. <br>1 warning call or alarm. <br>2 state or period of special vigilance. <br>—v. (often foll. By to) warn. [french alerte from italian all'erta to the watch-tower]
Usage | the use of alibi in sense <br>2 is considered incorrect by some people.
Alien | <br>—adj. <br>1 (often foll. By to) unfamiliar; unacceptable or repugnant. <br>2 foreign. <br>3 of beings from other worlds. <br>—n. <br>1 foreign-born resident who is not naturalized. <br>2 being from another world. [latin alius other]
Align | v. <br>1 put or bring into line. <br>2 (usu. Foll. By with) ally (oneself etc.) With (a cause, party, etc.).  alignment n. [french à ligne into line]
Alike | <br>—adj. (usu. Predic.) Similar, like. <br>—adv. In a similar way.
Usage | in uk usage this term has been replaced by maintenance.
Usage | note the differences in meaning between all together and altogether: see note at altogether.
Allegation | n. <br>1 assertion, esp. Unproved. <br>2 alleging. [latin allego adduce]
Allege | v. (-ging) <br>1 declare, esp. Without proof. <br>2 advance as an argument or excuse. [latin lis lit- lawsuit]
Allegedly | adv. As is alleged.
Alliance | n. <br>1 union or agreement to cooperate, esp. Of states by treaty or families by marriage. <br>2 (alliance) political coalition party. <br>3 relationship; friendship. [french: related to *ally]
Allocate | v. (-ting) (usu. Foll. By to) assign or devote to (a purpose, person, or place).  allocation n. [latin: related to *local]
Allowance | n. <br>1 amount or sum allowed, esp. Regularly for a stated purpose. <br>2 amount allowed in reckoning. <br>3 deduction or discount.  make allowances (often foll. By for) <br>1 consider (mitigating circumstances). <br>2 make excuses for (a person, bad behaviour, etc.).
Alliance | n. <br>1 union or agreement to cooperate, esp. Of states by treaty or families by marriage. <br>2 (alliance) political coalition party. <br>3 relationship; friendship. [french: related to *ally]
Allocate | v. (-ting) (usu. Foll. By to) assign or devote to (a purpose, person, or place).  allocation n. [latin: related to *local]
Allowance | n. <br>1 amount or sum allowed, esp. Regularly for a stated purpose. <br>2 amount allowed in reckoning. <br>3 deduction or discount.  make allowances (often foll. By for) <br>1 consider (mitigating circumstances). <br>2 make excuses for (a person, bad behaviour, etc.).
Ally | <br>—n. (pl. -ies) state, person, etc., formally cooperating or united with another, esp. (also ally) in war. <br>—v. Also (-ies, -ied) (often refl. And foll. By with) combine in alliance. [latin alligo bind]
Usage | the usual term now is medical social worker.
Alongside | <br>—adv. At or to the side. <br>—prep. Close to the side of.
Usage | although widely used, alright is still non-standard and is considered incorrect by many people.
Usage | see note at alternative.
Usage | the adjective alternative should not be confused with alternate, as in ‘there will be a dance on alternate saturdays’.
Altogether | adv. <br>1 totally, completely. <br>2 on the whole. <br>3 in total.  in the altogether colloq. Naked. [from *all, *together]
Usage | note that altogether means ‘in total’, whereas all together means ‘all at once’ or ‘all in one place’. The phrases six rooms altogether (in total) and six rooms all together (in one place) illustrate the difference.
Aluminium | n. (us aluminum) silvery light and malleable metallic element resistant to tarnishing by air.
Amateur | n. Person who engages in a pursuit as a pastime rather than a profession, or performs with limited skill.  amateurish adj. Amateurism n. [latin amator lover: related to *amatory]
Ambassador | n. <br>1 diplomat sent to live abroad to represent his or her country's interests. <br>2 promoter (ambassador of peace).  ambassadorial adj. [latin ambactus servant]
Ambulance | n. <br>1 vehicle equipped for conveying patients to hospital. <br>2 mobile hospital serving an army. [latin: related to *amble]
Amend | v. <br>1 make minor alterations in to improve. <br>2 correct an error in (a document etc.). [latin: related to *emend]
Usage | amend is often confused with emend, a more technical word used in the context of textual correction.
Amendment | n. Minor alteration or addition in a document, resolution, etc.
Amid | prep. In the middle of, among. [old english: related to *on, *mid]
Analogy | n. (pl. -ies) <br>1 correspondence; partial similarity. <br>2 arguing or reasoning from parallel cases.  analogical adj. [greek analogia proportion]
Analogy | n. (pl. -ies) <br>1 correspondence; partial similarity. <br>2 arguing or reasoning from parallel cases.  analogical adj. [greek analogia proportion]
Analyst | n. <br>1 person skilled in (esp. Chemical or computer) analysis. <br>2 psychoanalyst.
Ancestor | n. <br>1 person, animal, or plant from which another has descended or evolved. <br>2 prototype or forerunner. [latin ante- before, cedo go]
Anchor | <br>—n. <br>1 heavy metal weight used to moor a ship or a balloon. <br>2 stabilizing thing. <br>—v. <br>1 secure with an anchor. <br>2 fix firmly. <br>3 cast anchor. <br>4 be moored by an anchor. [greek agkura]
Angel | n. <br>1 a attendant or messenger of god. B representation of this in human form with wings. <br>2 virtuous or obliging person. <br>3 slang financial backer of a play etc. [greek aggelos messenger]
Animation | n. <br>1 vivacity, ardour. <br>2 being alive. <br>3 technique of producing a moving picture from a sequence of drawings or puppet poses etc.
Anonymous | adj. <br>1 of unknown name or authorship. <br>2 without character; featureless.  anonymity n. [greek an- without, onoma name]
Anticipate | v. (-ting) <br>1 deal with or use before the proper time. <br>2 expect, foresee (did not anticipate a problem). <br>3 forestall (a person or thing). <br>4 look forward to.  anticipation n. Anticipatory adj. [latin anti- before, capio take]
Usage | the use of anticipate in sense 2, ‘expect’, ‘foresee’, is well-established in informal use, but is regarded as incorrect by some people.
Usage | antisocial is sometimes used mistakenly instead of unsocial in the phrase unsocial hours. This should be avoided.
Anxiety | n. (pl. -ies) <br>1 being anxious. <br>2 worry or concern. <br>3 eagerness, troubled desire. [latin anxietas from ango choke]
Usage | anyone is written as two words to emphasize a numerical sense, as in any one of us can do it.
Anxiety | n. (pl. -ies) <br>1 being anxious. <br>2 worry or concern. <br>3 eagerness, troubled desire. [latin anxietas from ango choke]
Usage | anyone is written as two words to emphasize a numerical sense, as in any one of us can do it.
Apology | n. (pl. -ies) <br>1 statement of regret for an offence or failure. <br>2 explanation or defence. <br>3 (foll. By for) poor specimen of. [greek apologia from apologeomai speak in defence]
Apparatus | n. <br>1 equipment for a particular function, esp. Scientific or technical. <br>2 political or other complex organization. [latin paro prepare]
Appetite | n. <br>1 natural craving, esp. For food or sexual activity. <br>2 (usu. Foll. By for) inclination or desire. [latin peto seek]
Applaud | v. <br>1 express strong approval, esp. By clapping. <br>2 commend, approve (a person or action). [latin applaudo clap hands]
Applicable | adj. (often foll. By to) that may be applied; relevant; appropriate.  applicability n. [medieval latin: related to *apply]
Applicant | n. Person who applies for something, esp. A job.
Appoint | v. <br>1 assign a job or office to. <br>2 (often foll. By for) fix (a time, place, etc.). <br>3 (as appointed adj.) Equipped, furnished (well-appointed).  appointee n. [french à point to a point]
Appreciation | n. <br>1 favourable or grateful recognition. <br>2 sensitive estimation or judgement. <br>3 rise in value. [french: related to *appreciate]
Usage | in the sense ‘native of arabia’, the usual term is now arab.
Usage | in the sense ‘native of arabia’, the usual term is now arab.
Arbitrary | adj. <br>1 random. <br>2 capricious; despotic.  arbitrarily adv.
Usage | in the sense ‘native of arabia’, the usual term is now arab.
Arbitrary | adj. <br>1 random. <br>2 capricious; despotic.  arbitrarily adv.
Archive | <br>—n. (usu. In pl.) <br>1 collection of documents or records. <br>2 store for these. <br>—v. (-ving) <br>1 place or store in an archive. <br>2 computing transfer (data) to a less frequently used file. [greek arkheia public records]
Arena | n. <br>1 central part of an amphitheatre etc. <br>2 scene of conflict; sphere of action. [latin, = sand]
Array | <br>—n. <br>1 imposing or well-ordered series or display. <br>2 ordered arrangement, esp. Of troops (battle array). <br>—v. <br>1 deck, adorn. <br>2 set in order; marshal (forces). [latin ad-, *ready]
Array | <br>—n. <br>1 imposing or well-ordered series or display. <br>2 ordered arrangement, esp. Of troops (battle array). <br>—v. <br>1 deck, adorn. <br>2 set in order; marshal (forces). [latin ad-, *ready]
Arrow | n. <br>1 pointed slender missile shot from a bow. <br>2 representation of this, esp. Indicating direction. [old english]
Articulate | <br>—adj. <br>1 fluent and clear in speech. <br>2 (of sound or speech) having clearly distinguishable parts. <br>3 having joints. <br>—v. (-ting) <br>1 a pronounce distinctly. B speak or express clearly. <br>2 (usu. In passive) connect by joints. <br>3 mark with apparent joints. <br>4 (often foll. By with) form a joint.  articulately adv.
Artwork | n. <br>1 illustrative material in printed matter. <br>2 works of art collectively (exhibition of children's artwork).
Aside | <br>—adv. To or on one side; away, apart. <br>—n. Words spoken aside, esp. Confidentially to the audience by an actor.
Aspiration | n. <br>1 ambition or desire. <br>2 drawing breath or phonet. Aspirating.
Aspire | v. (-ring) (usu. Foll. By to or after, or to + infin.) Have ambition or a strong desire. [latin aspiro breathe upon]
Assault | <br>—n. <br>1 violent physical or verbal attack. <br>2 law threat or display of violence against a person. <br>—v. Make an assault on.  assault and battery law threatening act resulting in physical harm to a person. [latin: related to *assail]
Assemble | v. (-ling) <br>1 gather together; collect. <br>2 esp. Mech. Fit together (components, a whole). [latin ad to, simul together]
Assembly | n. (pl. -ies) <br>1 assembling. <br>2 assembled group, esp. As a deliberative body. <br>3 assembling of components.
Assert | v. <br>1 declare, state clearly. <br>2 refl. Insist on one's rights. <br>3 enforce a claim to (assert one's rights). [latin assero -sert-]
Assertion | n. Declaration, forthright statement.
Asset | n. <br>1 useful or valuable person or thing. <br>2 (usu. In pl.) Property and possessions, esp. That can be set against debts etc. [french asez from latin ad satis to enough]
Assign | <br>—v. <br>1 (usu. Foll. By to) a allot as a share or responsibility. B appoint to a position, task, etc. <br>2 fix (a time, place, etc.). <br>3 (foll. By to) ascribe to (a reason, date, etc.) (assigned the manuscript to 1832). <br>4 (foll. By to) law transfer formally (esp. Property) to (another). <br>—n. Assignee.  assigner n. Assignor n. Law. [latin assigno mark out]
Usage | in <br>1972 the civil jurisdiction of assizes in england and wales was transferred to the high court and the criminal jurisdiction to the crown court.
Assumption | n. <br>1 assuming. <br>2 thing assumed. <br>3 (assumption) reception of the virgin mary bodily into heaven.
Assurance | n. <br>1 emphatic declaration; guarantee. <br>2 insurance, esp. Life insurance. <br>3 certainty. <br>4 self-confidence; assertiveness.
Assure | v. (-ring) <br>1 (often foll. By of) a convince. B tell (a person) confidently (assured him all was well). <br>2 ensure; guarantee (a result etc.). <br>3 insure (esp. A life). <br>4 (as assured adj.) A guaranteed. B self-confident. [latin securus safe]
Asylum | n. <br>1 sanctuary; protection, esp. For fugitives from the law (seek asylum). <br>2 hist. Institution for the mentally ill or destitute. [greek a- not, sulon right of seizure]
Atrocity | n. (pl. -ies) <br>1 wicked or cruel act. <br>2 extreme wickedness. [latin: related to *atrocious]
Attachment | n. <br>1 thing attached, esp. For a purpose. <br>2 affection, devotion. <br>3 attaching or being attached. <br>4 legal seizure. <br>5 temporary position in an organization.
Attain | v. <br>1 reach, gain, accomplish (a goal etc.). <br>2 (foll. By to) arrive at by effort or development. [latin attingo reach]
Attendance | n. <br>1 attending or being present. <br>2 number present (high attendance).
Attorney | n. (pl. -s) <br>1 lawyer etc. Appointed to act for another in business or legal matters. <br>2 us qualified lawyer. [french atorner assign]
Attribute | <br>—v. (-ting) (usu. Foll. By to) <br>1 regard as belonging to, written or said by, etc. (a poem attributed to milton). <br>2 ascribe to (a cause) (delays attributed to snow). <br>—n. <br>1 esp. Characteristic quality ascribed to a person or thing. <br>2 object symbolizing or appropriate to a person, office, or status.  attributable adj. Attribution n. [latin tribuo allot]
Auction | <br>—n. Sale in which articles are sold to the highest bidder. <br>—v. Sell by auction. [latin augeo auct- increase]
Audio | n. (usu. Attrib.) Sound or its reproduction. [latin audio hear]
Audit | <br>—n. Official scrutiny of accounts. <br>—v. (-t-) conduct an audit of.
Authentic | adj. <br>1 of undisputed origin; genuine. <br>2 reliable, trustworthy.  authentically adv. Authenticity n. [greek authentikos]
Authorize | v. (also -ise) (-zing or -sing) <br>1 officially approve, sanction. <br>2 (foll. By to + infin.) Give authority to (a person to do a thing).  authorization n.
Auto | n. (pl. -s) us colloq. Car. [abbreviation of *automobile]
Automatic | <br>—adj. <br>1 working by itself, without direct human intervention. <br>2 a done spontaneously (automatic reaction). B following inevitably (automatic penalty). <br>3 (of a firearm) able to be loaded and fired continuously. <br>4 (of a vehicle or its transmission) using gears that change automatically. <br>—n. <br>1 automatic machine, firearm, or tool. <br>2 vehicle with automatic transmission.  automatically adv. [related to *automaton]
Autonomy | n. <br>1 self-government. <br>2 personal freedom.
Await | v. <br>1 wait for. <br>2 be in store for. [french: related to *wait]
Usage | awake and awaken are interchangeable but awaken is much rarer than awake as an intransitive verb.
Usage | aware is also found used attributively in sense 2, as in ‘a very aware person’, but this should be avoided in formal contexts.
Awkward | adj. <br>1 difficult to use or deal with. <br>2 clumsy, ungainly. <br>3 a embarrassed. B embarrassing. [obsolete awk perverse]
Backdrop | n. = *backcloth.
Backing | n. <br>1 a support, esp. Financial or moral. B material used for a thing's back or support. <br>2 musical accompaniment, esp. To a pop singer.
Backup | n. (often attrib.) <br>1 support; reserve (back-up team). <br>2 computing a making of spare copies of data for safety. B copy so made.
Badge | n. <br>1 small flat emblem worn to signify office, membership, etc., or as decoration. <br>2 thing that reveals a condition or quality. [origin unknown]
Ballet | n. <br>1 dramatic or representational style of dancing to music. <br>2 particular piece or performance of ballet.  balletic adj. [french: related to *ball2]
Balloon | <br>—n. <br>1 small inflatable rubber toy or decoration. <br>2 large usu. Round inflatable flying bag, often carrying a basket for passengers. <br>3 colloq. Balloon shape enclosing dialogue etc. In a comic strip or cartoon. <br>—v. <br>1 (cause to) swell out like a balloon. <br>2 travel by balloon.  balloonist n. [french or italian, = large ball]
Ballot | <br>—n. <br>1 occasion or system of voting, in writing and usu. Secret. <br>2 total of such votes. <br>3 paper etc. Used in voting. <br>—v. (-t-) <br>1 (usu. Foll. By for) a hold a ballot; give a vote. B draw lots for precedence etc. <br>2 take a ballot of (balloted the members). [italian ballotta: related to *balloon]
Usage | baluster is often confused with banister. A baluster is usually part of a balustrade whereas a banister supports a stair handrail.
Usage | see note at baluster.
Banner | n. <br>1 large sign bearing a slogan or design, esp. In a demonstration or procession; flag. <br>2 slogan, esp. Political. [latin bandum standard]
Bare | <br>—adj. <br>1 unclothed or uncovered. <br>2 leafless; unfurnished; empty. <br>3 plain, unadorned (the bare truth; bare facts). <br>4 (attrib.) Scanty, just sufficient (a bare majority; bare necessities). <br>—v. (-ring) uncover, reveal (bared his teeth; bared his soul). [old english]
Barely | adv. <br>1 scarcely (barely escaped). <br>2 scantily (barely furnished).
Bargain | <br>—n. <br>1 a agreement on the terms of a sale etc. B this from the buyer's viewpoint (a bad bargain). <br>2 cheap thing. <br>—v. (often foll. By with, for) discuss the terms of a sale etc. (bargained with me; bargain for the table).  bargain for (or colloq. On) be prepared for; expect. Bargain on rely on. Into the bargain moreover. [french from germanic]
Barrel | <br>—n. <br>1 cylindrical usu. Convex container. <br>2 its contents. <br>3 measure of capacity (<br>30 to <br>40 gallons). <br>4 cylindrical tube forming part of an object, e.g. A gun or a pen. <br>—v.
Basement | n. Floor of a building below ground level.
Basket | n. <br>1 container made of interwoven cane, reed, wire, etc. <br>2 amount held by this. <br>3 the goal in basketball, or a goal scored. <br>4 econ. Group or range (of currencies). [french]
Battlefield | n. (also battleground) scene of a battle.
Bias | <br>—n. <br>1 (often foll. By towards, against) predisposition or prejudice. <br>2 statistics distortion of a statistical result due to a neglected factor. <br>3 edge cut obliquely across the weave of a fabric. <br>4 sport a irregular shape given to a bowl. B oblique course this causes it to run. <br>—v. (-s- or -ss-) <br>1 (esp. As biased adj.) Influence (usu. Unfairly); prejudice. <br>2 give a bias to.  on the bias obliquely, diagonally. [french]
Bid | <br>—v. (-dd-; past bid, archaic bade; past part. Bid, archaic bidden) <br>1 (past and past part. Bid) a (esp. At an auction) make an offer (of) (bid for the vase; bid £20). B offer a service for a stated price. <br>2 literary command; invite (bid the soldiers shoot; bade her start). <br>3 literary utter (a greeting or farewell) to (i bade him welcome). <br>4 (past and past part. Bid) cards state before play how many tricks one intends to make. <br>—n. <br>1 act of bidding. <br>2 amount bid. <br>3 colloq. Attempt; effort (bid for power).  bidder n. [old english]
