
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Usage | complacent is often confused with complaisant.
Usage | complaisant is often confused with complacent.
Complement | <br>—n. <br>1 thing that completes; counterpart. <br>2 full number needed. <br>3 word(s) added to a verb to complete the predicate of a sentence. <br>4 amount by which an angle is less than 90°. <br>—v. <br>1 complete. <br>2 form a complement to. [latin compleo fill up]
Compliance | n. <br>1 obedience to a request, command, etc. <br>2 capacity to yield.  in compliance with according to.
Complication | n. <br>1 a involved or confused condition or state. B complicating circumstance; difficulty. <br>2 (often in pl.) Disease or condition aggravating or arising out of a previous one. [latin: related to *complicate]
Comply | v. (-ies, -ied) (often foll. By with) act in accordance (with a request or command). [latin compleo fill up]
Compose | v. (-sing) <br>1 create in music or writing. <br>2 constitute; make up. <br>3 arrange artistically, neatly, or for a specified purpose. <br>4 a (often refl.) Calm; settle. B (as composed adj.) Calm, self-possessed. <br>5 printing a set up (type). B arrange (an article etc.) In type.  composed of made up of, consisting of.  composedly adv. [french: related to *pose]
Usage | see note at comprise.
Composer | n. Person who composes (esp. Music).
Composition | n. <br>1 a act or method of putting together; composing. B thing composed, esp. Music. <br>2 constitution of a substance. <br>3 school essay. <br>4 arrangement of the parts of a picture etc. <br>5 compound artificial substance.  compositional adj.
Comprehensive | <br>—adj. <br>1 including all or nearly all, inclusive. <br>2 (of motor insurance) providing protection against most risks. <br>—n. (in full comprehensive school) secondary school for children of all abilities.  comprehensively adv. Comprehensiveness n.
Comprise | v. (-sing) <br>1 include. <br>2 consist of. <br>3 make up, compose. [french: related to *comprehend]
Usage | the use of this word in sense <br>3 is considered incorrect and compose is generally preferred.
Compromise | <br>—n. <br>1 settlement of a dispute by mutual concession. <br>2 (often foll. By between) intermediate state between conflicting opinions, actions, etc. <br>—v. (-sing) <br>1 a settle a dispute by mutual concession. B modify one's opinions, demands, etc. <br>2 bring into disrepute or danger by indiscretion. [latin: related to *promise]
Compulsory | adj. <br>1 required by law or a rule. <br>2 essential.  compulsorily adv.
Compute | v. (-ting) <br>1 reckon or calculate. <br>2 use a computer.  computation n. [latin puto reckon]
Conceal | v. <br>1 keep secret. <br>2 hide.  concealment n. [latin celo hide]
Concede | v. (-ding) <br>1 admit to be true. <br>2 admit defeat in. <br>3 grant (a right, privilege, etc.). [latin: related to *cede]
Conceive | v. (-ving) <br>1 become pregnant (with). <br>2 a (often foll. By of) imagine, think. B (usu. In passive) formulate (a belief, plan, etc.). [latin concipio -cept-]
Conception | n. <br>1 conceiving or being conceived. <br>2 idea, plan. <br>3 understanding (has no conception). conceptional adj. [french from latin: related to *concept]
Concession | n. <br>1 a conceding. B thing conceded. <br>2 reduction in price for a certain category of persons. <br>3 a right to use land etc. B right to sell goods in a particular territory.  concessionary adj. [latin: related to *concede]
Concrete | <br>—adj. <br>1 a existing in a material form; real. B specific, definite (concrete evidence; a concrete proposal). <br>2 gram. (of a noun) denoting a material object as opposed to a quality, state, etc. <br>—n. (often attrib.) Mixture of gravel, sand, cement, and water, used for building. <br>—v. (-ting) cover with or embed in concrete. [latin cresco cret- grow]
Condemn | v. <br>1 express utter disapproval of. <br>2 a find guilty; convict. B (usu. Foll. By to) sentence to (a punishment). <br>3 pronounce (a building etc.) Unfit for use. <br>4 (usu. Foll. By to) doom or assign (to something unpleasant).  condemnation n. Condemnatory adj. [latin: related to *damn]
Usage | condole is often confused with console1.
Confer | v. (-rr-) <br>1 (often foll. By on, upon) grant or bestow. <br>2 (often foll. By with) converse, consult.  conferrable adj. [latin confero collat- bring together]
Confess | v. <br>1 a (also absol.) Acknowledge or admit (a fault, crime, etc.). B (foll. By to) admit to. <br>2 admit reluctantly. <br>3 a (also absol.) Declare (one's sins) to a priest. B (of a priest) hear the confession of. [latin confiteor -fess-]
Confession | n. <br>1 a act of confessing. B thing confessed. <br>2 (in full confession of faith) declaration of one's beliefs or principles.
Configuration | n. <br>1 arrangement in a particular form. <br>2 form or figure resulting from this. <br>3 computing hardware and its arrangement of connections etc.  configure v. (-ring). [latin: related to *figure]
Confine | <br>—v. (-ning) <br>1 keep or restrict (within certain limits). <br>2 imprison. <br>—n. (usu. In pl.) Limit, boundary. [latin finis limit]
Confirmation | n. <br>1 confirming or being confirmed. <br>2 rite confirming a baptized person as a member of the christian church.
Confront | v. <br>1 a face in hostility or defiance. B face up to and deal with. <br>2 (of a difficulty etc.) Present itself to. <br>3 (foll. By with) bring (a person) face to face with (an accusation etc.). <br>4 meet or stand facing.  confrontation n. Confrontational adj. [french from medieval latin]
Confusion | n. Confusing or being confused.
Usage | the form congery, formed under the misapprehension that congeries is plural only, is incorrect.
Congratulate | v. (-ting) (often foll. By on) <br>1 express pleasure at the happiness, good fortune, or excellence of (a person). <br>2 refl. Think oneself fortunate or clever.  congratulatory adj. [latin gratus pleasing]
Congregation | n. <br>1 gathering of people, esp. For religious worship. <br>2 body of persons regularly attending a particular church etc. [latin: related to *congregate]
Conquer | v. <br>1 a overcome and control militarily. B be victorious. <br>2 overcome by effort.  conqueror n. [latin conquiro win]
Conscience | n. Moral sense of right and wrong, esp. As affecting behaviour.  in all conscience colloq. By any reasonable standard. On one's conscience causing one feelings of guilt. Prisoner of conscience person imprisoned by the state for his or her political or religious views. [latin: related to *science]
Consecutive | adj. <br>1 a following continuously. B in an unbroken or logical order. <br>2 gram. Expressing a consequence.  consecutively adv. [latin sequor secut- follow]
Consensus | n. (often foll. By of; often attrib.) General agreement or opinion. [latin: related to *consent]
Consent | <br>—v. (often foll. By to) express willingness, give permission, agree. <br>—n. Voluntary agreement, permission. [latin sentio feel]
Consequently | adv. & conj. As a result; therefore.
Conservation | n. Preservation, esp. Of the natural environment. [latin: related to *conserve]
Conserve | <br>—v. (-ving) keep from harm or damage, esp. For later use. <br>—n. Fresh fruit jam. [latin servo keep]
Considerable | adj. <br>1 much; a lot of (considerable pain). <br>2 notable, important.  considerably adv.
Consistency | n. (pl. -ies) <br>1 degree of density, firmness, or viscosity, esp. Of thick liquids. <br>2 being consistent. [latin: related to *consist]
Usage | console is often confused with condole, which is different in that it is always followed by with.
Consolidate | v. (-ting) <br>1 make or become strong or secure. <br>2 combine (territories, companies, debts, etc.) Into one whole.  consolidation n. Consolidator n. [latin: related to *solid]
Conspiracy | n. (pl. -ies) <br>1 secret plan to commit a crime; plot. <br>2 conspiring. [latin: related to *conspire]
Constituency | n. (pl. -ies) <br>1 body of voters who elect a representative. <br>2 area so represented.
Constitute | v. (-ting) <br>1 be the components or essence of; compose. <br>2 a amount to (this constitutes a warning). B formally establish (constitutes a precedent). <br>3 give legal or constitutional form to. [latin constituo establish]
Constitution | n. <br>1 act or method of constituting; composition. <br>2 body of fundamental principles by which a state or other body is governed. <br>3 person's inherent state of health, strength, etc. [latin: related to *constitute]
Constitutional | <br>—adj. <br>1 of or in line with the constitution. <br>2 inherent (constitutional weakness). <br>—n. Walk taken regularly as healthy exercise.  constitutionality n. Constitutionally adv.
Constraint | n. <br>1 constraining or being constrained. <br>2 restriction. <br>3 self-control.
Consult | v. <br>1 seek information or advice from. <br>2 (often foll. By with) refer to a person for advice etc. <br>3 take into account (feelings, interests, etc.).  consultative adj. [latin consulo consult- take counsel]
Consultant | n. <br>1 person providing professional advice etc. <br>2 senior medical specialist in a hospital.
Consultation | n. <br>1 meeting arranged to consult. <br>2 act or process of consulting.
Consumption | n. <br>1 consuming or being consumed. <br>2 amount consumed. <br>3 use by a particular group (a film unsuitable for children's consumption). <br>4 archaic tuberculosis of the lungs. <br>5 purchase and use of goods etc. [french: related to *consume]
Contemplate | v. (-ting) <br>1 survey visually or mentally. <br>2 regard (an event) as possible. <br>3 intend (he is not contemplating retiring). <br>4 meditate.  contemplation n. [latin]
Contempt | n. <br>1 feeling that a person or thing deserves scorn or extreme reproach. <br>2 condition of being held in contempt. <br>3 (in full contempt of court) disobedience to or disrespect for a court of law. [latin temno tempt- despise]
Contend | v. <br>1 (usu. Foll. By with) fight, argue. <br>2 compete. <br>3 assert, maintain.  contender n. [latin: related to *tend1]
Contention | n. <br>1 dispute or argument; rivalry. <br>2 point contended for in an argument. [latin: related to *contend]
Usage | continual is often confused with continuous. Continual is used of something that happens very frequently (e.g. There were continual interruptions), while continuous is used of something that happens without a pause (e.g. Continuous rain all day).
Usage | see note at continual.
Contractor | n. Person who makes a contract, esp. To conduct building operations.
Contrary | <br>—adj. <br>1 (usu. Foll. By to) opposed in nature or tendency. <br>2 perverse, self-willed. <br>3 (of a wind) unfavourable, impeding. <br>4 opposite in position or direction. <br>—n. (prec. By the) the opposite. <br>—adv. (foll. By to) in opposition or contrast (contrary to expectations).  on the contrary expressing denial of what has just been implied or stated. To the contrary to the opposite effect.  contrariness n. [latin: related to *contra-]
Usage | the second pronunciation, stressed on the first syllable, is considered incorrect by some people.
Controversial | adj. Causing or subject to controversy. [latin: related to *controvert]
Controversy | n. (pl. -ies) prolonged argument or dispute. [latin: related to *controvert]
Usage | the second pronunciation, stressed on the second syllable, is considered incorrect by some people.
Convenience | n. <br>1 state of being convenient; suitability. <br>2 useful thing. <br>3 advantage. <br>4 lavatory, esp. A public one.  at one's convenience at a time or place that suits one. [latin: related to *convene]
Convention | n. <br>1 a general agreement on social behaviour etc. By implicit majority consent. B a custom or customary practice. <br>2 conference of people with a common interest. <br>3 a formal agreement, esp. Between states. [latin: related to *convene]
Conventional | adj. <br>1 depending on or according with convention. <br>2 (of a person) bound by social conventions. <br>3 usual; of agreed significance. <br>4 not spontaneous or sincere or original. <br>5 (of weapons etc.) Non-nuclear.  conventionalism n. Conventionality n. (pl. -ies). Conventionally adv.
Conversion | n. <br>1 converting or being converted. <br>2 converted building or part of this. [latin: related to *convert]
Convey | v. <br>1 transport or carry (goods, passengers, etc.). <br>2 communicate (an idea, meaning, etc.). <br>3 transfer the title to (a property). <br>4 transmit (sound etc.).  conveyable adj. [latin via way]
Convict | <br>—v. <br>1 (often foll. By of) prove to be guilty (of a crime etc.). <br>2 declare guilty by a legal process. <br>—n. Chiefly hist. Person serving a prison sentence. [latin vinco vict- conquer]
Conviction | n. <br>1 convicting or being convicted. <br>2 a being convinced. B firm belief. [latin: related to *convict]
Cooperate | v. (also co-operate) (-ting) <br>1 (often foll. By with) work or act together. <br>2 be helpful and do as one is asked. cooperation n. [related to *co-]
Cooperative | (also co-operative) <br>—adj. <br>1 willing to cooperate. <br>2 of or characterized by cooperation. <br>3 (of a business) owned and run jointly by its members, with profits shared. <br>—n. Cooperative farm, society, or business.
Coordinate | (also co-ordinate) <br>—v. (-ting) <br>1 cause (parts, movements, etc.) To function together efficiently. <br>2 work or act together effectively. <br>—adj. Equal in rank or importance. <br>—n. <br>1 math. Each of a system of values used to fix the position of a point, line, or plane. <br>2 (in pl.) Matching items of clothing.  coordination n. Coordinator n. [latin ordino: related to *order]
Cop | slang <br>—n. <br>1 police officer. <br>2 capture or arrest (it's a fair cop). <br>—v. (-pp-) <br>1 catch or arrest (an offender). <br>2 receive, suffer. <br>3 take, seize.  cop it get into trouble; be punished. Cop out <br>1 withdraw; give up. <br>2 go back on a promise. Not much cop of little value or use. [french caper seize]
Copyright | <br>—n. Exclusive legal right to print, publish, perform, film, or record material. <br>—adj. Protected by copyright. <br>—v. Secure copyright for (material).
Corporation | n. <br>1 group of people authorized to act as an individual, esp. In business. <br>2 municipal authorities of a borough, town, or city. <br>3 joc. Large stomach.
Correction | n. <br>1 correcting or being corrected. <br>2 thing substituted for what is wrong. <br>3 archaic punishment.  correctional adj. [latin: related to *correct]
Correlate | <br>—v. (-ting) (usu. Foll. By with, to) have or bring into a mutual relation or dependence. <br>—n. Each of two related or complementary things.  correlation n. [medieval latin correlatio]
Correspond | v. <br>1 a (usu. Foll. By to) be similar or equivalent. B (usu. Foll. By with, to) be in agreement, not contradict. <br>2 (usu. Foll. By with) exchange letters.  correspondingly adv. [french from medieval latin]
Correspondence | n. <br>1 agreement or similarity. <br>2 a exchange of letters. B letters.
Correspondent | n. <br>1 person who writes letters. <br>2 person employed to write or report for a newspaper or for broadcasting etc.
Corridor | n. <br>1 passage giving access into rooms. <br>2 passage in a train giving access into compartments. <br>3 strip of territory of one state passing through that of another. <br>4 route which an aircraft must follow, esp. Over a foreign country. [french from italian]
Corrupt | <br>—adj. <br>1 dishonest, esp. Using bribery. <br>2 immoral; wicked. <br>3 (of a text etc.) Made unreliable by errors or alterations. <br>—v. Make or become corrupt.  corruptible adj. Corruptibility n. Corruption n. Corruptive adj. Corruptly adv. Corruptness n. [latin rumpo rupt- break]
Costly | adj. (-ier, -iest) costing much; expensive.  costliness n.
Councillor | n. Member of a (esp. Local) council.
Counsellor | n. (us counselor) <br>1 adviser. <br>2 person giving professional guidance on personal problems. <br>3 us barrister.
Counterpart | n. <br>1 person or thing like another or forming the complement or equivalent to another. <br>2 duplicate.
Countless | adj. Too many to be counted.
Coup | n. (pl. -s) <br>1 successful stroke or move. <br>2 = *coup d'état. [medieval latin colpus blow]
Courtesy | n. (pl. -ies) courteous behaviour or act.  by courtesy of with the formal permission of. [french: related to *courteous]
Usage | there is often some confusion as to the difference between cousin, first cousin, second cousin, first cousin once removed, etc. For definitions see cousin, second cousin and remove v. 5.
Coverage | n. <br>1 area or amount covered. <br>2 amount of publicity received by an event etc.
Crack | <br>—n. <br>1 a sharp explosive noise. B sudden harshness or change in vocal pitch. <br>2 sharp blow. <br>3 a narrow opening; break or split. B chink. <br>4 colloq. Joke or malicious remark. <br>5 colloq. Attempt. <br>6 slang crystalline form of cocaine broken into small pieces. <br>—v. <br>1 break without separating the parts. <br>2 make or cause to make a sharp explosive sound. <br>3 break with a sharp sound. <br>4 give way or cause to give way (under torture etc.). <br>5 (of the voice) change pitch sharply; break. <br>6 colloq. Find the solution to. <br>7 tell (a joke etc.). <br>8 colloq. Hit sharply. <br>9 (as cracked adj.) Crazy. <br>10 break (wheat) into coarse pieces. <br>—attrib. Adj. Colloq. Excellent; first-rate (crack shot).  crack a bottle open a bottle, esp. Of wine, and drink it. Crack down on colloq. Take severe measures against. Crack of dawn daybreak. Crack up colloq. <br>1 collapse under strain. <br>2 praise. Get cracking colloq. Begin promptly and vigorously. [old english]
Craft | <br>—n. <br>1 special skill or technique. <br>2 occupation needing this. <br>3 (pl. Craft) a boat or vessel. B aircraft or spacecraft. <br>4 cunning or deceit. <br>—v. Make in a skilful way. [old english]
Crawl | <br>—v. <br>1 move slowly, esp. On hands and knees or with the body close to the ground etc. <br>2 walk or move slowly. <br>3 colloq. Behave obsequiously. <br>4 (often foll. By with) be or appear to be covered or filled with crawling or moving things or people. <br>5 (esp. Of the skin) creep. <br>—n. <br>1 crawling. <br>2 slow rate of movement. <br>3 high-speed overarm swimming stroke. [origin unknown]
Creator | n. <br>1 person who creates. <br>2 (as the creator) god.
Credibility | n. <br>1 being credible. <br>2 reputation, status.
Credible | adj. Believable or worthy of belief. [latin: related to *credo]
Usage | credible is sometimes confused with credulous.
Usage | credulous is sometimes confused with credible.
Creep | <br>—v. (past and past part. Crept) <br>1 move with the body prone and close to the ground. <br>2 move stealthily or timidly. <br>3 advance very gradually (a feeling crept over her). <br>4 colloq. Act obsequiously in the hope of advancement. <br>5 (of a plant) grow along the ground or up a wall etc. <br>6 (as creeping adj.) Developing slowly and steadily. <br>7 (of flesh) shiver or shudder from fear, horror, etc. <br>—n. <br>1 act or spell of creeping. <br>2 (in pl.; prec. By the) colloq. Feeling of revulsion or fear. <br>3 slang unpleasant person. <br>4 (of metals etc.) Gradual change of shape under stress. [old english]
Usage | crescendo is sometimes wrongly used to mean the climax itself rather than progress towards it.
Usage | the plural form of criterion, criteria, is often used incorrectly as the singular. In the singular criterion should always be used.
Critique | n. Critical analysis. [french: related to *critic]
Crown | <br>—n. <br>1 monarch's jewelled headdress. <br>2 (the crown) a monarch as head of state. B power or authority of the monarchy. <br>3 a wreath for the head as an emblem of victory. B award or distinction, esp. In sport. <br>4 crown-shaped ornament etc. <br>5 top part of the head, a hat, etc. <br>6 a highest or central part (crown of the road). B thing that completes or forms a summit. <br>7 a part of a tooth visible outside the gum. B artificial replacement for this. <br>8 former british coin worth five shillings. <br>—v. <br>1 put a crown on (a person or head). <br>2 invest with a royal crown or authority. <br>3 be a crown to; rest on top of. <br>4 a (often as crowning adj.) (cause to) be the reward, summit, or finishing touch to (crowning glory). B bring to a happy outcome. <br>5 fit a crown to (a tooth). <br>6 slang hit on the head. <br>7 promote (a piece in draughts) to king. [latin corona]
Usage | the use of crucial in sense <br>2 should be restricted to informal contexts.
Crude | <br>—adj. <br>1 a in the natural state; not refined. B unpolished; lacking finish. <br>2 a rude, blunt. B offensive, indecent. <br>3 inexact. <br>—n. Natural mineral oil.  crudely adv. Crudeness n. Crudity n. [latin crudus raw]
Cruise | <br>—v. (-sing) <br>1 a travel by sea for pleasure, calling at ports. B sail about. <br>2 travel at a relaxed or economical speed. <br>3 achieve an objective, esp. Win a race etc. With ease. <br>4 slang search for a sexual (esp. Homosexual) partner in bars, streets, etc. <br>—n. Cruising voyage. [dutch: related to *cross]
Crush | <br>—v. <br>1 compress with force or violence, so as to break, bruise, etc. <br>2 reduce to powder by pressure. <br>3 crease or crumple. <br>4 defeat or subdue completely. <br>—n. <br>1 act of crushing. <br>2 crowded mass of people. <br>3 drink from the juice of crushed fruit. <br>4 (usu. Foll. By on) colloq. Infatuation. [french]
Crystal | <br>—n. <br>1 a transparent colourless mineral, esp. Rock crystal. B piece of this. <br>2 a highly transparent glass; flint glass. B articles of this. <br>3 crystalline piece of semiconductor. <br>4 aggregation of molecules with a definite internal structure and the external form of a solid enclosed by symmetrically arranged plane faces. <br>—adj. (usu. Attrib.) Made of, like, or clear as crystal. [greek krustallos]
Usage | the cse examination was replaced in <br>1988 by gcse.
Cult | n. <br>1 religious system, sect, etc., esp. Ritualistic. <br>2 a devotion to a person or thing (cult of aestheticism). B fashion. C (attrib.) Fashionable (cult film). [latin: related to *cultivate]
Cultivate | v. (-ting) <br>1 prepare and use (soil etc.) For crops or gardening. <br>2 a raise (crops). B culture (bacteria etc.). <br>3 a (often as cultivated adj.) Improve (the mind, manners, etc.). B nurture (a person, friendship, etc.).  cultivable adj. Cultivation n. [latin colo cult- till, worship]
Usage | a cupful is a measure, and so three cupfuls is a quantity regarded in terms of a cup; three cups full denotes the actual cups as in brought us three cups full of water.
Curiosity | n. (pl. -ies) <br>1 eager desire to know; inquisitiveness. <br>2 strange, rare, etc. Object. [latin: related to *curious]
Curious | adj. <br>1 eager to learn; inquisitive. <br>2 strange, surprising, odd.  curiously adv. [latin: related to *cure]
Curriculum | n. (pl. -la) subjects included in a course of study. [latin, = course]
Custody | n. <br>1 guardianship; protective care. <br>2 imprisonment.  take into custody arrest.  custodial adj. [latin custos -od- guard]
Cute | adj. Colloq. <br>1 esp. Us attractive, quaint. <br>2 clever, ingenious.  cutely adv. Cuteness n. [shortening of *acute]
Cutting | <br>—n. <br>1 piece cut from a newspaper etc. <br>2 piece cut from a plant for propagation. <br>3 excavated channel in a hillside etc. For a railway or road. <br>—adj. See *cut v. 5.  cuttingly adv.
Dairy | n. (pl. -ies) <br>1 place for processing, distributing, or selling milk and its products. <br>2 (attrib.) Of, containing, or used for, dairy products (and sometimes eggs) (dairy cow). [old english]
Dare | <br>—v. (-ring; 3rd sing. Present usu. Dare before an expressed or implied infinitive without to) <br>1 (foll. By infin. With or without to) have the courage or impudence (to) (dare he do it?; if they dare to come; how dare you?). <br>2 (usu. Foll. By to + infin.) Defy or challenge (i dare you to own up). <br>—n. <br>1 act of daring. <br>2 challenge, esp. To prove courage.  i dare say <br>1 (often foll. By that) it is probable. <br>2 probably; i grant that much. [old english]
Usage | (1) in scientific, philosophical, and general use, this word is usually considered to denote a number of items and is thus treated as plural with datum as the singular. (2) in computing and allied subjects (and sometimes in general use), it is treated as a mass (or collective) noun and used with words like this, that, and much, with singular verbs, e.g. Useful data has been collected. Some people consider use (2) to be incorrect but it is more common than use (1). However, data is not a singular countable noun and cannot be preceded by a, every, each, either, or neither, or be given a plural form datas.
Database | n. Structured set of data held in a computer.
Dawn | <br>—n. <br>1 daybreak. <br>2 beginning or birth of something. <br>—v. <br>1 (of a day) begin; grow light. <br>2 (often foll. By on, upon) begin to become obvious (to). [old english]
Deadline | n. Time-limit.
Deadly | <br>—adj. (-ier, -iest) <br>1 causing or able to cause fatal injury or serious damage. <br>2 intense, extreme (deadly dullness). <br>3 (of aim etc.) True; effective. <br>4 deathlike (deadly pale). <br>5 colloq. Dreary, dull. <br>—adv. <br>1 like death; as if dead (deadly faint). <br>2 extremely (deadly serious).
Usage | sign language is the preferred term in official use.
Dealer | n. <br>1 trader in (esp. Retail) goods (car-dealer; dealer in tobacco). <br>2 player dealing at cards. <br>3 jobber on the stock exchange.
Usage | in sense 3, this name has been merged with broker since oct. <br>1986 (see *broker 2, *jobber 2).
Usage | this term was replaced in <br>1975 by capital transfer tax and in <br>1986 by inheritance tax.
Debris | n. <br>1 scattered fragments, esp. Of wreckage. <br>2 accumulation of loose rock etc. [french briser break]
Debut | n. (brit. Début) first public appearance (as a performer etc.). [french]
Usage | the second pronunciation given, with the stress on the second syllable, is considered incorrect by some people, even though it is much used in broadcasting.
Usage | sense <br>1 is now the usual sense, but it is considered inappropriate by some people. This word should not be used to mean ‘defeat utterly’.
Decisive | adj. <br>1 conclusive, settling an issue. <br>2 quick to decide.  decisively adv. Decisiveness n. [medieval latin: related to *decide]
Deck | <br>—n. <br>1 a platform in a ship serving as a floor. B the accommodation on a particular deck of a ship. <br>2 floor or compartment of a bus etc. <br>3 section for playing discs or tapes etc. In a sound system. <br>4 esp. Us pack of cards. <br>5 slang ground. <br>—v. <br>1 (often foll. By out) decorate. <br>2 provide with or cover as a deck.  below deck(s) in or into the space below the main deck. [dutch, = cover]
Declaration | n. <br>1 declaring. <br>2 formal, emphatic, or deliberate statement. [latin: related to *declare]
Dedication | n. <br>1 dedicating or being dedicated. <br>2 words with which a book etc. Is dedicated. [latin: related to *dedicate]
Deed | n. <br>1 thing done intentionally or consciously. <br>2 brave, skilful, or conspicuous act. <br>3 action (kind in word and deed). <br>4 legal document used esp. For transferring ownership of property. [old english: related to *do1]
Deem | v. Formal consider, judge (deem it my duty). [old english]
Default | <br>—n. <br>1 failure to appear, pay, or act as one should. <br>2 preselected option adopted by a computer program when no alternative is specified. <br>—v. Fail to fulfil (esp. A legal) obligation.  by default because of lack of an alternative or opposition. In default of because of the absence of.  defaulter n. [french: related to *fail]
Defect | <br>—n. Fault, imperfection, shortcoming. <br>—v. Leave one's country or cause for another.  defection n. Defector n. [latin deficio -fect- fail]
Defensive | adj. <br>1 done or intended for defence. <br>2 over-reacting to criticism.  on the defensive <br>1 expecting criticism. <br>2 mil ready to defend.  defensively adv. Defensiveness n. [medieval latin: related to *defend]
Deficiency | n. (pl. -ies) <br>1 being deficient. <br>2 (usu. Foll. By of) lack or shortage. <br>3 thing lacking. <br>4 deficit, esp. Financial.
Deficit | n. <br>1 amount by which a thing (esp. Money) is too small. <br>2 excess of liabilities over assets. [french from latin: related to *defect]
Usage | in sense 1, this word is often confused with definite, which does not imply authority and conclusiveness. A definite no is a firm refusal, while a definitive no is an authoritative judgement or decision that something is not the case.
Defy | v. (-ies, -ied) <br>1 resist openly; refuse to obey. <br>2 (of a thing) present insuperable obstacles to (defies solution). <br>3 (foll. By to + infin.) Challenge (a person) to do or prove something. [latin fides faith]
Delegate | <br>—n. <br>1 elected representative sent to a conference. <br>2 member of a committee or delegation. <br>—v. (-ting) <br>1 (often foll. By to) a commit (power etc.) To an agent or deputy. B entrust (a task) to another. <br>2 send or authorize (a person) as a representative. [latin: related to *legate]
Delegation | n. <br>1 group representing others. <br>2 delegating or being delegated.
Delete | v. (-ting) remove (a letter, word, etc.), esp. By striking out.  deletion n. [latin deleo]
Delicate | adj. <br>1 a fine in texture, quality, etc.; slender, slight. B (of a colour, flavour, etc.) Subtle, hard to discern. <br>2 susceptible; weak, tender. <br>3 a requiring tact; tricky (delicate situation). B (of an instrument) highly sensitive. <br>4 deft (delicate touch). <br>5 modest. <br>6 (esp. Of actions) considerate.  delicately adv. [latin]
Democracy | n. (pl. -ies) <br>1 a government by the whole population, usu. Through elected representatives. B state so governed. <br>2 classless and tolerant society. [greek demokratia rule of the people]
Democratic | adj. <br>1 of, like, practising, or being a democracy. <br>2 favouring social equality.  democratically adv.
Demon | n. <br>1 a evil spirit or devil. B personification of evil passion. <br>2 (often attrib.) Forceful or skilful performer (demon player). <br>3 cruel person. <br>4 (also daemon) supernatural being in ancient greece.  demonic adj. [greek daimon deity]
Demonstration | n. <br>1 (foll. By of) show of feeling etc. <br>2 (esp. Political) public meeting, march, etc. <br>3 the exhibiting etc. Of specimens or experiments in esp. Scientific teaching. <br>4 proof by logic, argument, etc. <br>5 mil. Display of military force.
Denial | n. <br>1 denying the truth or existence of a thing. <br>2 refusal of a request or wish. <br>3 disavowal of a leader etc.
Denounce | v. (-cing) <br>1 accuse publicly; condemn. <br>2 inform against. <br>3 announce withdrawal from (an armistice, treaty, etc.).  denouncement n. [latin nuntius messenger]
Dense | adj. <br>1 closely compacted; crowded together; thick. <br>2 colloq. Stupid.  densely adv. Denseness n. [latin densus]
Density | n. (pl. -ies) <br>1 denseness of thing(s) or a substance. <br>2 physics degree of consistency measured by the quantity of mass per unit volume. <br>3 opacity of a photographic image.
Depart | v. <br>1 a (often foll. By from) go away; leave. B (usu. Foll. By for) start; set out. <br>2 (usu. Foll. By from) deviate (departs from good taste). <br>3 esp. Formal or literary leave by death; die (departed this life). [latin dispertio divide]
Dependence | n. <br>1 depending or being dependent, esp. Financially. <br>2 reliance; trust.
Dependent | <br>—adj. <br>1 (usu. Foll. By on, upon) depending, conditional. <br>2 unable to do without (esp. A drug). <br>3 maintained at another's cost. <br>4 (of a clause etc.) Subordinate to a sentence or word. <br>—n. Us var. Of *dependant.
Depict | v. <br>1 represent in drawing or painting etc. <br>2 portray in words; describe.  depicter n. (also -tor). Depiction n. [latin: related to *picture]
Deploy | v. <br>1 spread out (troops) into a line ready for action. <br>2 use (arguments, forces, etc.) Effectively.  deployment n. [latin plico fold]
Deposit | <br>—n. <br>1 a money in a bank account. B anything stored for safe keeping. <br>2 a payment made as a pledge for a contract or as an initial part payment for a thing bought. B returnable sum paid on the hire of an item. <br>3 a natural layer of sand, rock, coal, etc. B layer of accumulated matter on a surface. <br>—v. (-t-) <br>1 a put or lay down (deposited the book on the shelf). B (of water etc.) Leave (matter etc.) Lying. <br>2 a store or entrust for keeping. B pay (a sum of money) into a bank account. <br>3 pay (a sum) as part of a larger sum or as a pledge for a contract. [latin pono posit- put]
Usage | deprecate is often confused with depreciate.
Usage | depreciate is often confused with deprecate.
Depression | n. <br>1 extreme melancholy, often with a reduction in vitality and physical symptoms. <br>2 econ. Long period of slump. <br>3 lowering of atmospheric pressure; winds etc. Caused by this. <br>4 hollow on a surface. <br>5 pressing down.
Deprive | v. (-ving) <br>1 (usu. Foll. By of) prevent from having or enjoying. <br>2 (as deprived adj.) Lacking what is needed for well-being; underprivileged.  deprival n. [latin: related to *privation]
Deputy | n. (pl. -ies) <br>1 person appointed to act for another (also attrib.: deputy manager). <br>2 parliamentary representative in some countries. [var. Of *depute]
Derive | v. (-ving) <br>1 (usu. Foll. By from) get or trace from a source (derived satisfaction from work). <br>2 (foll. By from) arise from, originate in (happiness derives from many things). <br>3 (usu. Foll. By from) show or state the origin or formation of (a word etc.). [latin rivus stream]
